YYYYMMDD,OPEN,HIGH,LOW,CLOSE
2011-06-15,5505.0,5505.0,5438.15,5452.65
2011-06-16,5415.0,5459.3,5392.6,5408.3
2011-06-17,5424.9,5424.9,5361.1,5372.75
2011-06-20,5374.4,5379.4,5182.4,5265.0
2011-06-21,5264.95,5326.7,5256.05,5276.95
2011-06-22,5306.0,5312.0,5267.8,5282.55
2011-06-23,5274.0,5337.0,5263.2,5318.5
2011-06-24,5358.0,5490.8,5335.55,5485.05
2011-06-27,5444.4,5559.0,5444.4,5536.65
2011-06-28,5554.0,5558.35,5491.8,5546.85
2011-06-29,5575.0,5612.9,5564.0,5608.0
2011-06-30,5620.6,5653.8,5603.55,5647.8
2011-07-01,5702.0,5702.0,5616.25,5632.95
2011-07-04,5684.65,5690.0,5642.3,5665.7
2011-07-05,5668.0,5670.0,5628.25,5650.0
2011-07-06,5646.95,5667.5,5617.5,5635.0
2011-07-07,5649.95,5751.6,5641.0,5745.15
2011-07-08,5755.0,5759.95,5661.0,5664.8
2011-07-11,5650.05,5659.0,5605.1,5621.0
2011-07-12,5539.8,5593.45,5502.15,5526.7
2011-07-13,5559.95,5609.9,5550.0,5609.0
2011-07-14,5577.0,5667.05,5546.1,5585.0
2011-07-15,5607.35,5640.0,5563.5,5591.4
2011-07-18,5590.0,5609.0,5560.05,5568.5
2011-07-19,5567.7,5642.0,5561.65,5619.7
2011-07-20,5658.9,5658.9,5554.05,5566.9
2011-07-21,5561.75,5586.0,5532.5,5546.5
2011-07-22,5590.1,5652.8,5573.25,5641.6
2011-07-25,5634.95,5709.8,5616.1,5687.5
2011-07-26,5707.7,5708.9,5555.55,5576.0
2011-07-27,5581.15,5584.9,5518.35,5547.9
2011-07-28,5495.5,5517.05,5473.0,5488.15
2011-07-29,5469.55,5531.45,5456.1,5491.0
2011-08-01,5547.8,5557.1,5491.4,5529.05
2011-08-02,5492.2,5498.0,5433.15,5467.5
2011-08-03,5418.1,5436.6,5386.5,5429.5
2011-08-04,5427.0,5440.0,5325.25,5338.8
2011-08-05,5224.0,5233.7,5114.7,5219.15
2011-08-08,5140.0,5208.0,5057.3,5134.0
2011-08-09,4974.0,5172.0,4951.4,5095.0
2011-08-10,5170.0,5190.0,5118.1,5148.0
2011-08-11,5139.0,5186.8,5122.0,5127.9
2011-08-12,5181.0,5181.0,5052.0,5074.7
2011-08-16,5139.4,5139.85,5006.4,5040.4
2011-08-17,5044.45,5125.7,5014.0,5068.95
2011-08-18,5075.65,5075.65,4928.35,4932.25
2011-08-19,4865.3,4903.3,4801.1,4850.0
2011-08-22,4846.1,4921.75,4816.1,4914.0
2011-08-23,4940.0,4973.2,4865.1,4945.1
2011-08-24,4925.0,4961.95,4867.5,4868.0
2011-08-25,4909.7,4912.0,4831.1,4839.65
2011-08-26,4855.3,4887.9,4718.0,4748.15
2011-08-29,4802.3,4948.0,4802.3,4940.0
2011-08-30,4995.0,5021.55,4924.0,5015.25
2011-09-02,5072.1,5072.1,4988.8,5044.9
2011-09-05,4994.15,5023.0,4954.0,5013.9
2011-09-06,4990.5,5072.25,4931.9,5067.5
2011-09-07,5100.0,5149.0,5078.25,5120.1
2011-09-08,5126.0,5174.0,5088.35,5161.8
